id,anio,fecha,nombre,tipo,ambito,coste_meur,moneda_anio,capa,consolidado,fuente,url
inund-pais-vasco-1983,1983,1983-08-26,Inundaciones del Pais Vasco,inundacion,Bizkaia|Gipuzkoa|Cantabria,808,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking siniestros mayores, euros constantes 2015),https://www.consorseguros.es/
inund-valencia-1982,1982,1982-10-20,Riada del Jucar (presa de Tous),inundacion,Valencia,217.7,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
inund-valencia-murcia-1987,1987,1987-11-04,Inundaciones de Valencia y Murcia,inundacion,Valencia|Murcia|Alicante,285,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
inund-andalucia-valencia-1989,1989,1989-11-04,Inundaciones de Andalucia y Valencia,inundacion,Malaga|Valencia|Almeria,159.5,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
inund-pais-vasco-1997,1997,1997-08-01,Inundaciones del Pais Vasco,inundacion,Bizkaia|Gipuzkoa,108.9,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
inund-este-2000,2000,2000-10-22,Inundaciones de Cataluna-Valencia-Murcia,inundacion,Barcelona|Tarragona|Valencia|Murcia,99.3,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
temp-delta-canarias-2005,2005,2005-11-28,Tormenta tropical Delta (Canarias),temporal_costero,Las Palmas|Santa Cruz de Tenerife,96.7,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
ciclon-klaus-2009,2009,2009-01-23,Ciclon Klaus (tempestad ciclonica atipica),viento,Cataluna|Aragon|Comunidad Valenciana,541,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
inund-sudeste-2012,2012,2012-09-28,Inundaciones y temporal del sudeste,inundacion,Murcia|Almeria|Malaga,214.1,2015,asegurado_ccs,si,Consorcio de Compensacion de Seguros (ranking, euros constantes 2015),https://www.consorseguros.es/
temp-gloria-2020,2020,2020-01-19,Temporal Gloria,temporal_costero,Cataluna|Comunidad Valenciana|Baleares|Murcia,97,2020,asegurado_ccs,si,Consorcio de Compensacion de Seguros: 12.223 siniestros, ~97 M€,https://www.consorseguros.es/
incendios-2022,2022,2022-07-15,Ola de incendios forestales de 2022,incendio,Nacional,600,2022,estimado_total,no,Estimacion de perdidas agrarias y ganaderas (~600 M€); 306.000 ha quemadas,https://www.wwf.es/nuestro_trabajo/bosques/incendios_forestales_/
incendios-2025,2025,2025-08-15,Ola de incendios forestales de 2025 (peor del siglo),incendio,Galicia|Castilla y Leon|Extremadura,7000,2025,estimado_total,no,Impacto economico estimado ~0.47% del PIB; mas de 390.000 ha quemadas (provisional),https://www.eldiariodemadrid.es/articulo/medio-ambiente/incendios-forestales-2025-record-perdidas-economicas-superficie-quemada/20260607132510133148.html
olas-calor-2025,2025,2025-07-01,Olas de calor del verano de 2025,ola_de_calor,Nacional,1479,2025,estimado_total,no,Verano mas calido registrado; coste estimado >1.479 M€; 3.832 muertes atribuidas al calor (MoMo) (provisional),https://www.elespanol.com/enclave-ods/historias/20250915/olas-calor-sequias-salen-caras-espanoles-pagaran-verano/1003743922052_0.html
