nombre;provincia;codigoine;latitud;longitud
Alegría-Dulantzi;Álava;01001;;
Amurrio;Álava;01002;43.05;-3
Aramaio;Álava;01003;;
Artziniega;Álava;01004;;
Armiñón;Álava;01006;42.72313;-2.87172
Arratzua-Ubarrundia;Álava;01008;;
Asparrena;Álava;01009;;
Ayala/Aiara;Álava;01010;;
Baños de Ebro/Mañueta;Álava;01011;;
Barrundia;Álava;01013;;
Berantevilla;Álava;01014;42.68254;-2.85832
Bernedo;Álava;01016;;
Campezo/Kanpezu;Álava;01017;;
Zigoitia;Álava;01018;;
Kripan;Álava;01019;;
Kuartango;Álava;01020;;
Elburgo/Burgelu;Álava;01021;;
Elciego;Álava;01022;42.51569;-2.61897
Elvillar/Bilar;Álava;01023;;
Iruraiz-Gauna;Álava;01027;;
Labastida/Bastida;Álava;01028;;
Lagrán;Álava;01030;42.62625;-2.58385
Laguardia;Álava;01031;42.55461;-2.58528
Lanciego/Lantziego;Álava;01032;;
Lapuebla de Labarca;Álava;01033;42.49455;-2.57341
Leza;Álava;01034;42.56552;-2.63324
Laudio/Llodio;Álava;01036;;
Arraia-Maeztu;Álava;01037;;
Moreda de Álava/Moreda Araba;Álava;01039;;
Navaridas;Álava;01041;42.54566;-2.6265
Okondo;Álava;01042;;
Oyón-Oion;Álava;01043;;
Peñacerrada-Urizaharra;Álava;01044;;
Erriberagoitia/Ribera Alta;Álava;01046;;
Ribera Baja/Erriberabeitia;Álava;01047;;
Añana;Álava;01049;;
Agurain/Salvatierra;Álava;01051;;
Samaniego;Álava;01052;42.56854;-2.67974
San Millán/Donemiliaga;Álava;01053;;
Urkabustaiz;Álava;01054;;
Valdegovía/Gaubea;Álava;01055;;
Harana/Valle de Arana;Álava;01056;;
Villabuena de Álava/Eskuernaga;Álava;01057;;
Legutio;Álava;01058;;
Vitoria-Gasteiz;Álava;01059;;
Yécora/Iekora;Álava;01060;;
Zalduondo;Álava;01061;;
Zambrana;Álava;01062;42.66102;-2.87909
Zuia;Álava;01063;;
Iruña Oka/Iruña de Oca;Álava;01901;;
Lantarón;Álava;01902;;
Abengibre;Albacete;02001;39.21667;-1.53333
Alatoz;Albacete;02002;39.09495;-1.36098
Albacete;Albacete;02003;38.99424;-1.85643
Albatana;Albacete;02004;38.57057;-1.5221
Alborea;Albacete;02005;39.28333;-1.38333
Alcadozo;Albacete;02006;38.64916;-1.97998
Alcalá del Júcar;Albacete;02007;39.19313;-1.43017
Alcaraz;Albacete;02008;38.6668;-2.49105
Almansa;Albacete;02009;38.86917;-1.09713
Alpera;Albacete;02010;38.96667;-1.21667
Ayna;Albacete;02011;38.55;-2.08333
Balazote;Albacete;02012;38.88444;-2.1518
Balsa de Ves;Albacete;02013;39.26667;-1.2
Ballestero, El;Albacete;02014;;
Barrax;Albacete;02015;39.04607;-2.20152
Bienservida;Albacete;02016;38.51716;-2.61087
Bogarra;Albacete;02017;38.58139;-2.2129
Bonete;Albacete;02018;38.87136;-1.34851
Bonillo, El;Albacete;02019;38.95048;-2.54048
Carcelén;Albacete;02020;39.10202;-1.30879
Casas de Juan Núñez;Albacete;02021;39.1019;-1.55821
Casas de Lázaro;Albacete;02022;38.77056;-2.24044
Casas de Ves;Albacete;02023;39.25;-1.33333
Casas-Ibáñez;Albacete;02024;39.28333;-1.46667
Caudete;Albacete;02025;38.70679;-0.98723
Cenizate;Albacete;02026;39.3;-1.65
Corral-Rubio;Albacete;02027;38.83462;-1.46034
Cotillas;Albacete;02028;38.43115;-2.5055
Chinchilla de Monte-Aragón;Albacete;02029;38.92088;-1.72018
Elche de la Sierra;Albacete;02030;38.45123;-2.0476
Férez;Albacete;02031;38.35;-2
Fuensanta;Albacete;02032;39.23333;-2.06667
Fuente-Álamo;Albacete;02033;38.69288;-1.43158
Fuentealbilla;Albacete;02034;39.26667;-1.55
Gineta, La;Albacete;02035;39.11452;-1.99603
Golosalvo;Albacete;02036;39.23333;-1.63333
Hellín;Albacete;02037;38.5106;-1.70096
Herrera, La;Albacete;02038;;
Higueruela;Albacete;02039;38.96371;-1.4437
Hoya-Gonzalo;Albacete;02040;38.9579;-1.55679
Jorquera;Albacete;02041;39.16667;-1.51667
Letur;Albacete;02042;38.36626;-2.10206
Lezuza;Albacete;02043;38.9497;-2.35419
