slug,nombre,provincia,lat,lon
a-coruna,A Coruña,A Coruña,43.3623,-8.4115
albacete,Albacete,Albacete,38.9943,-1.8585
alicante,Alicante,Alicante,38.3452,-0.4810
almeria,Almería,Almería,36.8340,-2.4637
avila,Ávila,Ávila,40.6566,-4.6818
badajoz,Badajoz,Badajoz,38.8794,-6.9707
barcelona,Barcelona,Barcelona,41.3874,2.1686
bilbao,Bilbao,Bizkaia,43.2630,-2.9350
burgos,Burgos,Burgos,42.3439,-3.6969
caceres,Cáceres,Cáceres,39.4753,-6.3724
cadiz,Cádiz,Cádiz,36.5271,-6.2886
castellon,Castellón de la Plana,Castellón,39.9864,-0.0513
ceuta,Ceuta,Ceuta,35.8894,-5.3213
ciudad-real,Ciudad Real,Ciudad Real,38.9848,-3.9274
cordoba,Córdoba,Córdoba,37.8882,-4.7794
cuenca,Cuenca,Cuenca,40.0704,-2.1374
girona,Girona,Girona,41.9794,2.8214
granada,Granada,Granada,37.1773,-3.5986
guadalajara,Guadalajara,Guadalajara,40.6293,-3.1668
huelva,Huelva,Huelva,37.2614,-6.9447
huesca,Huesca,Huesca,42.1362,-0.4087
jaen,Jaén,Jaén,37.7796,-3.7849
las-palmas,Las Palmas de Gran Canaria,Las Palmas,28.1235,-15.4363
leon,León,León,42.5987,-5.5671
lleida,Lleida,Lleida,41.6176,0.6200
logrono,Logroño,La Rioja,42.4627,-2.4450
lugo,Lugo,Lugo,43.0121,-7.5560
madrid,Madrid,Madrid,40.4168,-3.7038
malaga,Málaga,Málaga,36.7213,-4.4214
melilla,Melilla,Melilla,35.2923,-2.9381
murcia,Murcia,Murcia,37.9834,-1.1299
ourense,Ourense,Ourense,42.3358,-7.8639
oviedo,Oviedo,Asturias,43.3614,-5.8493
palencia,Palencia,Palencia,42.0096,-4.5288
palma,Palma,Illes Balears,39.5696,2.6502
pamplona,Pamplona,Navarra,42.8125,-1.6458
pontevedra,Pontevedra,Pontevedra,42.4310,-8.6444
salamanca,Salamanca,Salamanca,40.9701,-5.6635
san-sebastian,San Sebastián,Gipuzkoa,43.3183,-1.9812
santa-cruz-tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.4636,-16.2518
santander,Santander,Cantabria,43.4623,-3.8100
segovia,Segovia,Segovia,40.9429,-4.1088
sevilla,Sevilla,Sevilla,37.3891,-5.9845
soria,Soria,Soria,41.7636,-2.4649
tarragona,Tarragona,Tarragona,41.1189,1.2445
teruel,Teruel,Teruel,40.3457,-1.1065
toledo,Toledo,Toledo,39.8628,-4.0273
valencia,Valencia,Valencia,39.4699,-0.3763
valladolid,Valladolid,Valladolid,41.6523,-4.7245
vitoria,Vitoria-Gasteiz,Álava,42.8467,-2.6716
zamora,Zamora,Zamora,41.5033,-5.7446
zaragoza,Zaragoza,Zaragoza,41.6488,-0.8891
