nombre;provincia;codigoine;latitud;longitud
Alegría-Dulantzi;Álava;01001;42.84104;-2.51268
Amurrio;Álava;01002;43.05187;-3.00131
Aramaio;Álava;01003;43.05212;-2.56471
Artziniega;Álava;01004;43.12058;-3.12941
Armiñón;Álava;01006;42.7224;-2.87205
Arratzua-Ubarrundia;Álava;01008;42.94125;-2.609
Asparrena;Álava;01009;42.88922;-2.3123
Ayala/Aiara;Álava;01010;43.0753;-3.07766
Baños de Ebro/Mañueta;Álava;01011;42.52952;-2.67893
Barrundia;Álava;01013;42.8897;-2.46955
Berantevilla;Álava;01014;42.68245;-2.85833
Bernedo;Álava;01016;42.62728;-2.49814
Campezo/Kanpezu;Álava;01017;42.69332;-2.35175
Zigoitia;Álava;01018;42.96788;-2.71827
Kripan;Álava;01019;42.5918;-2.5155
Kuartango;Álava;01020;42.88517;-2.9176
Elburgo/Burgelu;Álava;01021;42.84969;-2.54525
Elciego;Álava;01022;42.51496;-2.61855
Elvillar/Bilar;Álava;01023;42.57061;-2.54332
Iruraiz-Gauna;Álava;01027;42.81175;-2.56582
Labastida/Bastida;Álava;01028;42.58994;-2.79566
Lagrán;Álava;01030;42.62539;-2.58359
Laguardia;Álava;01031;42.55351;-2.5841
Lanciego/Lantziego;Álava;01032;42.56254;-2.51161
Lapuebla de Labarca;Álava;01033;42.49471;-2.57317
Leza;Álava;01034;42.56552;-2.6332
Laudio/Llodio;Álava;01036;43.14345;-2.95799
Arraia-Maeztu;Álava;01037;42.73945;-2.44622
Moreda de Álava/Moreda Araba;Álava;01039;42.52506;-2.40834
Navaridas;Álava;01041;42.54569;-2.62539
Okondo;Álava;01042;43.15567;-3.02654
Oyón-Oion;Álava;01043;42.50467;-2.43573
Peñacerrada-Urizaharra;Álava;01044;42.64418;-2.71342
Erriberagoitia/Ribera Alta;Álava;01046;42.80724;-2.9176
Ribera Baja/Erriberabeitia;Álava;01047;42.71968;-2.90761
Añana;Álava;01049;42.80244;-2.98568
Agurain/Salvatierra;Álava;01051;42.84933;-2.38878
Samaniego;Álava;01052;42.5681;-2.68037
San Millán/Donemiliaga;Álava;01053;42.87639;-2.37828
Urkabustaiz;Álava;01054;42.97729;-2.94109
Valdegovía/Gaubea;Álava;01055;42.84204;-3.07766
Harana/Valle de Arana;Álava;01056;42.75273;-2.3123
Villabuena de Álava/Eskuernaga;Álava;01057;42.54763;-2.66547
Legutio;Álava;01058;42.98047;-2.64258
Vitoria-Gasteiz;Álava;01059;42.85917;-2.68179
Yécora/Iekora;Álava;01060;42.56727;-2.47154
Zalduondo;Álava;01061;42.88549;-2.3462
Zambrana;Álava;01062;42.66293;-2.88141
Zuia;Álava;01063;42.96499;-2.83777
Iruña Oka/Iruña de Oca;Álava;01901;42.81923;-2.8278
Lantarón;Álava;01902;42.728;-3.00297
Abengibre;Albacete;02001;39.2105;-1.54144
Alatoz;Albacete;02002;39.09505;-1.362
Albacete;Albacete;02003;38.99435;-1.85854
Albatana;Albacete;02004;38.572;-1.52056
Alborea;Albacete;02005;39.2792;-1.39577
Alcadozo;Albacete;02006;38.64874;-1.9802
Alcalá del Júcar;Albacete;02007;39.19179;-1.42958
